"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-080000)" "vx(point-14-080000)" "vy(point-04-000625)" "vy(point-04-080000)" "vy(point-14-080000)" "vz(point-04-000625)" "vz(point-04-080000)" "vz(point-14-080000)" "flow-time")
48199 0.5590736 3.150664 2.532892 0.4318601 0.08453763 0.6705109 0.04353262 -0.0995044 0.7792545 6024.875
48200 0.5680944 3.152328 2.635244 0.4320759 0.1085741 0.620909 0.03940085 -0.1117964 0.7207989 6025
48201 0.5764675 3.152872 2.738274 0.4318516 0.1360885 0.5585706 0.03498933 -0.1260168 0.6567367 6025.125
48202 0.5841752 3.152174 2.83863 0.4314604 0.1673019 0.4798186 0.0302293 -0.1416518 0.5997109 6025.25
48203 0.5911803 3.150293 2.935666 0.4308598 0.202066 0.3929051 0.02512157 -0.1578306 0.5562201 6025.375
48204 0.5974721 3.147131 3.022401 0.43003 0.2401337 0.3105814 0.0197316 -0.1734907 0.5313954 6025.5
48205 0.603071 3.142633 3.092849 0.428951 0.2809833 0.2401522 0.01412827 -0.1885453 0.5219178 6025.625
48206 0.6078408 3.136594 3.143689 0.4276052 0.3240384 0.1928815 0.007936258 -0.2009 0.5241921 6025.75
48207 0.6109214 3.128945 3.165519 0.426072 0.369031 0.1706442 0.0007687526 -0.2098941 0.5303553 6025.875
48208 0.6123092 3.1205 3.165325 0.42441 0.4151994 0.1633073 -0.007064403 -0.213642 0.5397487 6026
48209 0.6124033 3.111087 3.154486 0.4226563 0.4614016 0.1634964 -0.0151596 -0.2131389 0.5520892 6026.125
48210 0.6116488 3.100894 3.137902 0.4208685 0.5063782 0.1668063 -0.02319605 -0.2098315 0.5657298 6026.25
48211 0.6103998 3.090686 3.116216 0.4191506 0.5496572 0.1684063 -0.03096251 -0.2042513 0.5790972 6026.375
48212 0.6088506 3.080035 3.089337 0.4175543 0.5903749 0.1678461 -0.03832056 -0.1971885 0.5912207 6026.5
48213 0.6070795 3.06928 3.059389 0.4160676 0.6273405 0.1626949 -0.04524604 -0.1883754 0.6013442 6026.625
48214 0.6051474 3.058312 3.028817 0.4146852 0.6595175 0.1521739 -0.05175798 -0.1775732 0.6093572 6026.75
48215 0.603085 3.047663 2.998268 0.413424 0.6862257 0.136328 -0.05776733 -0.1650462 0.6151408 6026.875
48216 0.6009008 3.036982 2.96899 0.4122539 0.707239 0.1147292 -0.06279197 -0.1501382 0.6187686 6027
48217 0.5986186 3.026744 2.941812 0.4112163 0.7234308 0.08731414 -0.06664588 -0.1320043 0.6216125 6027.125
48218 0.5962592 3.016417 2.917483 0.4103561 0.7356238 0.05493269 -0.06979106 -0.1153372 0.6250789 6027.25
48219 0.5938817 3.005493 2.896327 0.4097812 0.744473 0.01681249 -0.07238138 -0.1019504 0.6299105 6027.375
48220 0.5915264 2.993637 2.875453 0.4095593 0.7499623 -0.02739854 -0.07450037 -0.0943835 0.6370846 6027.5
48221 0.5891887 2.98156 2.854543 0.409654 0.7530099 -0.06796367 -0.07618727 -0.09006645 0.6503388 6027.625
