"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-040000)" "vx(point-14-040000)" "vy(point-04-000625)" "vy(point-04-040000)" "vy(point-14-040000)" "vz(point-04-000625)" "vz(point-04-040000)" "vz(point-14-040000)" "flow-time")
60162 0.3644677 2.449112 0.6943356 0.1700454 1.598104 0.4421599 0.09209533 0.3344929 0.01022751 7520.25
60163 0.3655583 2.454118 0.7036899 0.1748721 1.556741 0.4609143 0.09438217 0.4125242 0.01892833 7520.375
60164 0.3668632 2.456242 0.7128871 0.1797837 1.519148 0.4807526 0.09660316 0.494052 0.027505 7520.5
60165 0.3683679 2.457046 0.7219439 0.1846027 1.487299 0.5016048 0.09868474 0.5705628 0.03621705 7520.625
60166 0.3700297 2.456766 0.7309232 0.1891776 1.466686 0.5233343 0.1005986 0.6395826 0.0445267 7520.75
60167 0.3718295 2.455423 0.7398678 0.1934068 1.455239 0.5457925 0.1023373 0.6961557 0.05203275 7520.875
60168 0.3737476 2.453263 0.7488128 0.1971866 1.4525 0.5685961 0.1038792 0.7330614 0.05827945 7521
60169 0.3758419 2.449713 0.7578454 0.2004409 1.458879 0.5915825 0.1052059 0.7457048 0.06364542 7521.125
60170 0.3781385 2.444691 0.7669697 0.2030723 1.473473 0.614622 0.1063505 0.7529291 0.06742916 7521.25
60171 0.3806396 2.436898 0.77631 0.2050362 1.492758 0.6375666 0.107361 0.7544791 0.06930248 7521.375
60172 0.383351 2.425473 0.7860007 0.2063711 1.513777 0.6600149 0.1081472 0.7543876 0.06919267 7521.5
60173 0.3862943 2.410618 0.79628 0.2070879 1.534622 0.6817854 0.1084941 0.7552142 0.06736653 7521.625
60174 0.3894525 2.391109 0.8075169 0.2072064 1.554104 0.7031438 0.1085164 0.7583045 0.06300241 7521.75
60175 0.3927451 2.365721 0.8198135 0.2068432 1.571532 0.7239689 0.1082761 0.764494 0.05662012 7521.875
60176 0.3963786 2.334408 0.8332219 0.2061412 1.585701 0.7438478 0.1078198 0.7729915 0.04863362 7522
60177 0.4001479 2.297159 0.848008 0.2051336 1.596871 0.7617317 0.1071548 0.7855999 0.03918372 7522.125
